episode,attack,peak_load,avg_load,PAR
1,replay,26.317731857299805,2.228426218032837,11.810002877514664
2,delay,21.810317993164062,2.2275643348693848,9.791101366031505
3,flip,23.165048599243164,2.2252209186553955,10.410219495429377
4,noise,22.010936737060547,2.2270243167877197,9.88355928023724
5,replace,26.721607208251953,2.2310574054718018,11.977098915346923
6,ddos,25.658784866333008,2.23405385017395,11.485297625676083
7,mitm,22.64124870300293,2.2292468547821045,10.156451941597124
8,impersonation,23.692283630371094,2.2289397716522217,10.629391292801818
9,blackhole,28.858783721923828,2.2320823669433594,12.929079688203302
10,grayhole,22.713516235351562,2.2324366569519043,10.174311548911891
11,selective_forward,22.095718383789062,2.2320005893707275,9.89950835564528
12,reorder,24.85449981689453,2.2333829402923584,11.128628342174334
13,truncate,22.208084106445312,2.2304069995880127,9.956960390452084
14,pad,22.441938400268555,2.2278780937194824,10.073229944808787
15,adaptive,21.046903610229492,2.229381561279297,9.440687289736424
