Episode,Attack,Peak Load,Average Load,Load Variance,PAR,Packet Delivery Ratio,Auth Failure Rate,Mean Reward,Reward Variance
1,sybil,22.306,2.191,38.712,10.18,100.0,0.0,-1.056,2.015
2,false_data_injection,26.003,2.194,39.206,11.854,100.0,0.0,-1.06,2.018
3,bit_flip,25.703,2.189,39.008,11.744,100.0,0.0,-1.053,2.003
4,ddos,23.129,2.188,38.731,10.573,100.0,0.0,-1.053,1.993
5,replay,23.408,2.191,39.262,10.682,100.0,0.0,-1.058,2.009
6,sybil,23.563,2.189,38.765,10.764,100.0,0.0,-1.054,1.99
7,false_data_injection,21.276,2.191,38.475,9.711,100.0,0.0,-1.054,2.01
8,bit_flip,22.624,2.185,38.398,10.352,100.0,0.0,-1.048,1.97
9,ddos,23.05,2.189,38.637,10.528,100.0,0.0,-1.054,1.99
10,replay,23.878,2.19,39.533,10.904,100.0,0.0,-1.057,2.01
11,sybil,23.527,2.188,38.968,10.753,100.0,0.0,-1.053,1.993
12,false_data_injection,22.018,2.188,38.624,10.063,100.0,0.0,-1.05,2.003
13,bit_flip,23.89,2.192,38.81,10.9,100.0,0.0,-1.058,2.01
14,ddos,22.579,2.187,38.982,10.324,100.0,0.0,-1.051,1.99
15,replay,26.203,2.185,38.957,11.993,100.0,0.0,-1.049,1.999
16,sybil,24.0,2.193,39.008,10.946,100.0,0.0,-1.06,2.036
17,false_data_injection,23.353,2.186,39.165,10.682,100.0,0.0,-1.053,2.007
18,bit_flip,23.283,2.19,38.269,10.633,100.0,0.0,-1.055,1.994
19,ddos,23.85,2.194,39.505,10.871,100.0,0.0,-1.061,2.035
20,replay,23.982,2.189,38.734,10.956,100.0,0.0,-1.053,2.005
21,sybil,25.519,2.189,39.431,11.656,100.0,0.0,-1.054,2.028
22,false_data_injection,23.649,2.189,39.012,10.804,100.0,0.0,-1.053,2.004
23,bit_flip,27.472,2.184,39.049,12.576,100.0,0.0,-1.045,1.982
24,ddos,22.057,2.188,39.001,10.083,100.0,0.0,-1.052,2.02
25,replay,24.524,2.187,38.414,11.216,100.0,0.0,-1.048,1.992
26,sybil,23.729,2.191,38.509,10.83,100.0,0.0,-1.055,2.016
27,false_data_injection,24.461,2.192,38.891,11.161,100.0,0.0,-1.055,2.011
28,bit_flip,24.275,2.191,38.899,11.079,100.0,0.0,-1.057,2.009
29,ddos,25.263,2.186,38.19,11.556,100.0,0.0,-1.053,2.006
30,replay,21.776,2.188,38.908,9.952,100.0,0.0,-1.051,1.991
